BATCH 0
Layer 1: ['?', '故', '宫', '以', '北', '正', '状', '。', '明', ' symbolic', ' meaning', ' LGBT']
Layer 2: ['?', '故', '宫', '以', '北', '正', '状', 'Sa', '明', ' symbolic', ' meaning', ' LGBT']
Layer 3: [' imposes', '故', '宫', '以', '北', '正', '状', '山', '明', ' symbolic', ' meaning', ' LGBT']
Layer 4: ['idency', '故', ' oraz', 'ILE', '-east', '正', '状', ' hygiene', '386', '_symbol', ' meaning', ' LGBT']
Layer 5: ['REFER', ' из', ' shrine', ' Crom', ' lyr', ' likeness', ' White', '(WIN', ' ORDER', ' unveiled', '407', ' legends']
Layer 6: [' Reform', '’ї', ' form', ' wind', 'nowledge', '.FR', '/front', ' leží', ' todo', 'ClearColor', ' meaningful', ' Organization']
Layer 7: [' convention', 'icions', 'Immutable', '.fe', ' zg', 'าร', '(done', ' enfants', ' jumped', ' 参', ' mệnh', ' poc']
Layer 8: ['UMMY', '.Memory', ' dbl', '°}', ' nameLabel', ' Toolbar', ' ndarray', 'olumes', ' exporters', ' cuối', ' validations', ' rights']
Layer 9: ['\tunset', ' Buffy', 'なく', '_secs', 'cripcion', '외', ' Ars', ' courtyard', 'autiful', '符', ' inherent', ' LGBT']
Layer 10: ['Pictures', ' цим', 'ighborhood', 'ーの', 'west', 'monds', ']?.', '_children', 'ๆ', ' [])', 'TON', 'فات']
Layer 11: ['spm', ' seçim', 'ampp', ' 及', ' Cocoa', 'الس', ' NTN', ' disliked', 'cstdio', 'izm', '्थल', ' PRINT']
Layer 12: ['Store', ' persecution', ' occupies', ' impunity', ' dem', 'acja', ' Gund', ' шаг', 'cheng', ' shemale', ' meanings', ' LGBT']
Layer 13: [' Beijing', ' Carrie', 'EX', ' nomine', ' situated', 'ois', ' cà', ' sequel', '[strlen', 'izing', ' meanings', ' LGBTQ']
Layer 14: ['ichage', '得', ' město', '\\Builder', ' located', '为', ' Suc', '这是', 'ARK', 'ismu', 'umbing', ' homophobic']
Layer 15: [' XI', '-school', ' Bridge', ' trie', ' lies', ' 운영', ' eget', ' rightfully', '尽', ' advocate', ' Usa', '_filter']
Layer 16: ['故', '宫', '以', '北', '正', '状', '。', '明', ' symbolic', ' meaning', ' LGBT', '\n']
